,station_id,row,data,realY,esti_data
0,A1001,876,116.0,116.0,143.97610473632812
1,A1001,877,58.0,58.0,111.96389770507812
2,A1001,878,4.0,4.0,6.094722747802734
3,A1001,879,5.0,5.0,25.159391403198242
4,A1001,880,5.0,5.0,7.975262641906738
5,A1001,881,5.0,5.0,30.94292640686035
6,A1001,882,10.0,10.0,48.7031135559082
7,A1001,883,6.0,6.0,67.2265396118164
8,A1001,884,9.0,9.0,34.9653434753418
9,A1001,885,9.0,9.0,34.3270378112793
10,A1001,886,7.0,7.0,10.18441104888916
11,A1001,887,10.0,10.0,22.192495346069336
12,A1001,888,11.0,11.0,12.9544038772583
13,A1001,889,14.0,14.0,26.032583236694336
14,A1001,890,16.0,16.0,22.31151008605957
15,A1001,891,10.0,10.0,9.758891105651855
16,A1001,892,6.0,6.0,34.22489547729492
17,A1001,893,8.0,8.0,27.197824478149414
18,A1001,894,6.0,6.0,38.055728912353516
19,A1001,895,9.0,9.0,13.296274185180664
20,A1001,896,13.0,13.0,19.3544921875
21,A1001,897,10.0,10.0,34.66333770751953
22,A1001,898,3.0,3.0,27.675031661987305
23,A1001,899,3.0,3.0,102.57207489013672
24,A1001,900,3.0,3.0,79.72982788085938
25,A1001,901,4.0,4.0,30.477384567260742
26,A1001,902,3.0,3.0,83.86576843261719
27,A1001,903,3.0,3.0,85.47017669677734
28,A1001,904,4.0,4.0,28.577556610107422
29,A1001,905,3.0,3.0,78.88978576660156
30,A1001,906,7.0,7.0,43.045772552490234
31,A1001,907,5.0,5.0,40.881290435791016
32,A1001,908,3.0,3.0,67.7288589477539
33,A1001,909,11.0,11.0,80.34333038330078
34,A1001,910,13.0,13.0,21.004291534423828
35,A1001,911,20.0,20.0,34.18221664428711
36,A1001,912,9.0,9.0,28.051198959350586
37,A1001,913,31.0,31.0,11.10348892211914
38,A1001,914,20.0,20.0,30.992076873779297
39,A1001,915,15.0,15.0,55.60950469970703
40,A1001,916,13.0,13.0,94.48169708251953
41,A1001,917,17.0,17.0,80.95584106445312
42,A1001,918,19.0,19.0,24.37919044494629
43,A1001,919,10.0,10.0,17.836719512939453
44,A1001,920,14.0,14.0,16.323659896850586
45,A1001,921,23.0,23.0,31.75320053100586
46,A1001,922,29.0,29.0,15.4077787399292
47,A1001,923,21.0,21.0,14.431726455688477
