station_id,utc_time,temperature,pressure,humidity,wind_speed,wind_direction,weather
101,2014/5/1 0:00,20,1004,56,7.92,4,0
101,2014/5/1 1:00,18,1004,64,7.56,4,0
101,2014/5/1 2:00,18,1004,70,5.76,4,0
101,2014/5/1 3:00,17,1004,74,6.12,4,0
101,2014/5/1 4:00,17,1004,75,4.68,3,0
101,2014/5/1 5:00,16,1004,75,3.96,3,0
101,2014/5/1 6:00,16,1005,78,5.04,3,0
101,2014/5/1 7:00,17,1005,76,7.56,4,0
101,2014/5/1 8:00,18,1005,72,8.64,4,0
101,2014/5/1 9:00,20,1005,68,10.08,5,0
101,2014/5/1 10:00,21,1005,65,9.36,0,0
101,2014/5/1 11:00,23,1004,57,10.8,6,0
101,2014/5/1 12:00,25,1003,55,14.4,5,3
101,2014/5/1 13:00,25,1002,51,19.44,4,3
101,2014/5/1 14:00,26,1002,45,12.96,5,3
101,2014/5/1 15:00,26,1001,44,10.8,5,3
101,2014/5/1 16:00,27,1001,43,13.32,5,3
101,2014/5/1 17:00,26,1001,46,15.12,8,3
101,2014/5/1 18:00,24,1003,26,13.32,8,8
101,2014/5/1 19:00,20,1003,35,12.96,8,8
101,2014/5/1 20:00,19,1005,30,19.08,8,8
101,2014/5/1 21:00,17,1007,38,20.88,8,0
101,2014/5/1 22:00,16,1007,37,17.28,8,5
101,2014/5/1 23:00,15,1008,44,21.96,8,0
101,2014/5/2 0:00,15,1009,37,20.88,8,0
101,2014/5/2 1:00,14,1008,37,16.56,8,0
101,2014/5/2 2:00,13,1008,37,21.24,8,0
101,2014/5/2 3:00,13,1009,37,17.28,8,0
101,2014/5/2 4:00,13,1009,37,15.84,8,0
101,2014/5/2 5:00,13,1010,35,16.92,8,0
101,2014/5/2 6:00,13,1010,31,23.76,8,0
101,2014/5/2 7:00,14,1011,29,23.76,8,0
101,2014/5/2 8:00,14,1012,27,18.36,8,0
101,2014/5/2 9:00,15,1014,14,28.8,8,0
101,2014/5/2 10:00,17,1014,16,19.08,8,0
101,2014/5/2 11:00,18,1014,14,12.6,8,0
101,2014/5/2 12:00,20,1014,12,20.52,8,1
101,2014/5/2 13:00,20,1013,12,17.64,1,1
101,2014/5/2 14:00,21,1012,13,9.72,8,1
101,2014/5/2 15:00,22,1011,12,8.28,8,1
101,2014/5/2 16:00,22,1011,16,15.12,8,1
101,2014/5/2 17:00,19,1012,23,11.88,7,1
101,2014/5/2 18:00,16,1014,38,10.08,7,0
101,2014/5/2 19:00,17,1014,33,7.92,8,0
101,2014/5/2 20:00,16,1014,37,3.24,0,0
101,2014/5/2 21:00,15,1015,41,8.64,7,0
101,2014/5/2 22:00,14,1014,46,2.52,6,0
101,2014/5/2 23:00,13,1014,49,3.24,0,0
101,2014/5/3 0:00,12,1014,54,1.44,0,0
101,2014/5/3 1:00,11,1014,55,5.4,4,0
101,2014/5/3 2:00,11,1013,55,3.96,2,0
101,2014/5/3 3:00,11,1012,55,4.68,2,0
101,2014/5/3 4:00,11,1012,55,7.56,0,0
101,2014/5/3 5:00,11,1011,52,3.6,2,0
101,2014/5/3 6:00,11,1011,51,7.92,0,0
101,2014/5/3 7:00,13,1010,45,6.48,0,0
101,2014/5/3 8:00,15,1010,36,15.48,0,0
101,2014/5/3 9:00,17,1009,35,16.92,0,0
101,2014/5/3 10:00,19,1007,34,11.88,4,0
101,2014/5/3 11:00,21,1006,29,18.72,4,0
101,2014/5/3 12:00,23,1004,20,26.64,5,3
101,2014/5/3 13:00,23,1003,18,29.52,6,3
101,2014/5/3 14:00,21,1005,23,17.28,7,3
101,2014/5/3 15:00,22,1004,24,6.48,7,3
101,2014/5/3 16:00,22,1004,19,12.96,8,3
101,2014/5/3 17:00,22,1005,13,11.88,8,3
101,2014/5/3 18:00,20,1006,11,18,8,0
101,2014/5/3 19:00,18,1007,13,26.28,8,0
101,2014/5/3 20:00,17,1009,16,32.4,8,0
101,2014/5/3 21:00,15,1012,19,31.32,8,0
101,2014/5/3 22:00,14,1013,18,24.12,8,0
101,2014/5/3 23:00,13,1014,22,19.08,8,0
101,2014/5/4 0:00,12,1014,25,9.72,8,0
101,2014/5/4 1:00,12,1014,28,18,8,0
101,2014/5/4 2:00,11,1014,28,17.28,8,0
101,2014/5/4 3:00,10,1014,27,10.44,8,0
101,2014/5/4 4:00,10,1014,27,14.76,8,0
101,2014/5/4 5:00,9,1014,27,9,7,0
101,2014/5/4 6:00,10,1014,26,9.72,8,0
101,2014/5/4 7:00,11,1014,21,10.44,8,0
101,2014/5/4 8:00,12,1014,18,18,8,0
101,2014/5/4 9:00,13,1014,14,25.56,8,0
101,2014/5/4 10:00,14,1013,12,16.56,8,0
101,2014/5/4 11:00,15,1013,9,22.68,8,0
101,2014/5/4 12:00,16,1013,9,17.64,8,0
101,2014/5/4 13:00,17,1013,9,25.56,8,0
101,2014/5/4 14:00,17,1013,9,21.96,8,0
101,2014/5/4 15:00,17,1013,8,24.84,8,0
101,2014/5/4 16:00,17,1013,9,26.28,8,0
101,2014/5/4 17:00,17,1014,10,18.36,8,0
101,2014/5/4 18:00,17,1014,11,10.8,8,0
101,2014/5/4 19:00,15,1014,13,9,8,0
101,2014/5/4 20:00,14,1015,15,6.12,8,0
101,2014/5/4 21:00,12,1015,23,2.52,2,0
101,2014/5/4 22:00,10,1015,31,1.44,0,0
101,2014/5/4 23:00,10,1015,33,4.68,6,0
101,2014/5/5 0:00,8,1015,40,2.52,0,0
101,2014/5/5 1:00,8,1015,42,2.52,0,0
101,2014/5/5 2:00,6,1014,49,2.52,0,0
101,2014/5/5 3:00,7,1014,45,1.44,1,0
101,2014/5/5 4:00,8,1014,43,3.6,0,0
101,2014/5/5 5:00,9,1015,34,7.56,2,0
101,2014/5/5 6:00,10,1016,31,7.92,8,0
101,2014/5/5 7:00,12,1016,19,14.04,8,0
101,2014/5/5 8:00,13,1016,14,13.68,1,0
101,2014/5/5 9:00,14,1017,12,18.36,1,0
101,2014/5/5 10:00,15,1017,12,11.52,2,0
101,2014/5/5 11:00,16,1016,11,12.6,0,0
101,2014/5/5 12:00,17,1015,11,16.92,0,1
101,2014/5/5 13:00,18,1014,10,5.04,0,1
101,2014/5/5 14:00,19,1013,11,16.2,8,1
101,2014/5/5 15:00,19,1012,13,11.88,8,1
101,2014/5/5 16:00,19,1011,12,12.6,4,1
101,2014/5/5 17:00,20,1011,14,13.32,6,1
101,2014/5/5 18:00,19,1011,15,21.6,5,0
101,2014/5/5 19:00,18,1011,16,13.32,5,0
101,2014/5/5 20:00,16,1011,19,5.76,4,0
101,2014/5/5 21:00,15,1012,22,5.04,4,0
101,2014/5/5 22:00,15,1012,24,9,4,0
101,2014/5/5 23:00,14,1011,27,8.64,0,0
101,2014/5/6 0:00,12,1011,32,3.96,3,0
101,2014/5/6 1:00,11,1010,38,2.88,3,0
101,2014/5/6 2:00,11,1010,38,7.92,3,0
101,2014/5/6 3:00,11,1009,39,7.56,3,0
101,2014/5/6 4:00,10,1009,46,5.4,0,0
101,2014/5/6 5:00,10,1008,49,5.4,0,0
101,2014/5/6 6:00,10,1008,52,4.68,0,0
101,2014/5/6 7:00,12,1007,49,7.2,1,0
101,2014/5/6 8:00,14,1007,42,6.12,1,0
101,2014/5/6 9:00,14,1007,39,7.92,3,0
101,2014/5/6 10:00,16,1006,37,9.36,3,0
101,2014/5/6 11:00,17,1006,34,10.44,0,0
101,2014/5/8 13:00,20,1011,37,11.88,5,1
101,2014/5/8 14:00,21,1010,36,12.96,4,1
101,2014/5/8 15:00,21,1010,36,12.96,5,1
101,2014/5/8 16:00,22,1009,32,18.72,6,1
101,2014/5/8 17:00,22,1008,29,11.16,4,1
101,2014/5/8 18:00,23,1007,28,11.52,4,2
101,2014/5/8 19:00,21,1008,35,11.52,4,2
101,2014/5/8 20:00,21,1008,34,11.16,4,2
101,2014/5/8 21:00,19,1009,37,11.16,4,2
101,2014/5/8 22:00,18,1010,41,9.72,4,2
101,2014/5/8 23:00,17,1010,0,5.76,4,
101,2014/5/9 0:00,17,1010,44,5.76,3,2
101,2014/5/9 1:00,17,1011,46,7.56,4,2
101,2014/5/9 2:00,16,1011,49,6.84,0,2
101,2014/5/9 3:00,16,1011,48,6.48,2,2
101,2014/5/9 4:00,16,1011,46,7.2,0,2
101,2014/5/9 5:00,16,1011,48,8.64,0,2
101,2014/5/9 6:00,16,1010,44,11.52,0,2
101,2014/5/9 7:00,16,1011,45,8.64,0,2
101,2014/5/9 8:00,16,1011,45,11.88,4,2
101,2014/5/9 9:00,16,1011,48,16.2,4,2
101,2014/5/9 10:00,17,1012,52,14.76,4,2
101,2014/5/9 11:00,17,1012,56,7.2,4,2
101,2014/5/9 12:00,17,1012,57,11.88,4,2
101,2014/5/9 13:00,17,1011,55,12.96,4,2
101,2014/5/9 14:00,18,1011,50,15.12,4,2
101,2014/5/9 15:00,20,1010,45,11.52,3,2
101,2014/5/9 16:00,20,1010,43,13.68,4,2
101,2014/5/9 17:00,20,1009,41,16.92,4,2
101,2014/5/9 18:00,20,1010,40,11.52,4,2
101,2014/5/9 19:00,19,1009,35,16.2,4,2
101,2014/5/9 20:00,19,1009,34,14.4,4,2
101,2014/5/9 21:00,18,1010,35,7.56,4,2
101,2014/5/9 22:00,18,1010,36,7.56,4,2
101,2014/5/9 23:00,16,1011,47,10.08,4,2
101,2014/5/10 0:00,16,1012,50,9,4,2
101,2014/5/10 1:00,15,1012,51,10.08,0,2
101,2014/5/10 2:00,15,1012,51,7.56,3,2
101,2014/5/10 3:00,15,1012,51,7.56,4,2
101,2014/5/10 4:00,15,1011,51,15.12,4,2
101,2014/5/10 5:00,14,1012,53,10.08,0,2
101,2014/5/10 6:00,14,1012,53,10.08,0,2
101,2014/5/10 7:00,14,1012,54,8.64,0,2
101,2014/5/10 8:00,14,1013,53,9,3,2
101,2014/5/10 9:00,14,1013,53,9,4,2
101,2014/5/10 10:00,16,1013,52,13.32,4,2
101,2014/5/10 11:00,16,1013,52,18,3,2
101,2014/5/10 12:00,18,1013,50,15.12,2,3
101,2014/5/10 13:00,18,1013,47,16.92,3,3
101,2014/5/10 14:00,18,1012,46,7.92,3,3
101,2014/5/10 15:00,18,1012,46,7.92,2,3
101,2014/5/10 16:00,19,1011,43,9.72,2,3
101,2014/5/10 17:00,20,1010,38,9.36,2,3
101,2014/5/10 18:00,20,1011,33,8.28,3,2
101,2014/5/10 19:00,20,1010,33,7.92,4,2
101,2014/5/10 20:00,19,1011,38,2.52,4,2
101,2014/5/10 21:00,19,1011,38,2.52,4,2
101,2014/5/10 22:00,18,1012,39,6.84,4,5
101,2014/5/10 23:00,18,1012,38,9.36,4,5
101,2014/5/11 0:00,18,1012,38,9.36,2,5
101,2014/5/11 1:00,,,,,2,5
101,2014/5/11 2:00,11,1012,85,11.52,1,5
101,2014/5/11 3:00,10,1009,90,10.08,1,5
101,2014/5/11 4:00,10,1008,92,10.44,2,5
101,2014/5/11 5:00,10,1007,92,9.36,2,5
101,2014/5/11 6:00,10,1006,93,9.72,2,5
101,2014/5/11 7:00,11,1005,94,9,2,5
101,2014/5/11 8:00,11,1005,94,9,2,5
101,2014/5/11 9:00,11,1005,94,9,2,5
101,2014/5/11 10:00,11,1005,92,9,2,5
101,2014/5/11 11:00,11,1004,92,8.28,1,5
101,2014/5/11 12:00,11,1004,92,11.88,1,5
101,2014/5/11 13:00,11,1002,89,11.52,1,5
101,2014/5/11 14:00,11,1002,87,11.88,1,5
101,2014/5/11 15:00,12,1000,84,5.76,8,5
