station_id,latitude,longitude
shunyi_meo,40.126666666666665,116.6152777777778
hadian_meo,39.986944444444454,116.29055555555556
yanqing_meo,40.44944444444444,115.96888888888887
miyun_meo,40.3775,116.86416666666666
huairou_meo,40.35777777777777,116.62694444444445
shangdianzi_meo,40.65888888888889,117.11166666666666
pinggu_meo,40.16944444444445,117.11777777777776
tongzhou_meo,39.8475,116.75666666666666
chaoyang_meo,39.9525,116.50083333333332
pingchang_meo,40.223333333333336,116.21166666666667
zhaitang_meo,39.9738888888889,115.69222222222223
mentougou_meo,39.88777777777778,116.15638888888893
beijing_meo,39.806111111111115,116.46944444444445
shijingshan_meo,39.9425,116.20527777777778
fengtai_meo,39.87027777777778,116.24527777777777
daxing_meo,39.718611111111116,116.35444444444445
fangshan_meo,39.77305555555555,116.19416666666667
xiayunling_meo,39.728611111111114,115.74055555555556
